,team,data,match,opponent,map_map,result,w_l
0,SAW,11/12/23,YaLLa Compass Fall 2023,FORZE,Overpass,6 - 13,L
1,SAW,05/12/23,CCT 2023 Online Finals 5,RED Canids,Overpass,13 - 1,W
2,SAW,03/12/23,CCT 2023 Online Finals 5,Aurora,Nuke,1 - 13,L
3,SAW,30/11/23,YaLLa Compass Fall 2023,9 Pandas,Nuke,13 - 11,W
4,SAW,25/11/23,Master League Portugal XII Finals,Rhyno,Nuke,13 - 2,W
5,SAW,23/11/23,YaLLa Compass Fall 2023,Espionage,Nuke,13 - 8,W
6,SAW,16/11/23,YaLLa Compass Fall 2023,Entropiq,Nuke,13 - 5,W
7,SAW,12/11/23,ESL Challenger League Season 46 Europe,Movistar Riders,Anubis,7 - 13,L
8,SAW,08/11/23,ESL Challenger League Season 46 Europe,FORZE,Anubis,2 - 13,L
9,SAW,06/11/23,CCT Central Europe Series 8,SINNERS,Ancient,9 - 13,L
10,SAW,29/10/23,Thunderpick World Championship 2023,Monte,Anubis,9 - 13,L
11,SAW,27/10/23,Thunderpick World Championship 2023,FaZe,Nuke,6 - 13,L
12,SAW,18/10/23,ESL Challenger League Season 46 Europe,RUBIK,Anubis,13 - 5,W
13,SAW,08/10/23,Aveiro TechDays Cup 2023,FTW,Nuke,11 - 13,L
14,SAW,18/09/23,Thunderpick World Championship 2023 Europe Series 2,Spirit,Ancient,16 - 19,L
15,SAW,14/09/23,Thunderpick World Championship 2023 Europe Series 2,OG,Ancient,16 - 2,W
16,SAW,09/09/23,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,Movistar Riders,Ancient,16 - 19,L
17,SAW,07/09/23,RTP Arena Fall Cup 2023 - BLAST Premier Qualifier,Camaro Peek,Nuke,16 - 8,W
18,SAW,25/08/23,CCT North Europe Series 7,BetBoom,Nuke,16 - 10,W
