,team,data,match,opponent,map_map,result,w_l
0,Sharks,29/11/23,ESL Challenger League Season 47 SA Open Qualifier 1,Corinthians,Nuke,11 - 13,L
1,Sharks,24/11/23,CBCS Invitational 2023,Imperial,Nuke,7 - 13,L
2,Sharks,20/11/23,EPL World Series Americas Season 4,RED Canids,Mirage,4 - 13,L
3,Sharks,17/11/23,EPL World Series Americas Season 4,Flamengo,Ancient,13 - 8,W
4,Sharks,13/11/23,EPL World Series Americas Season 4,W7M,Ancient,13 - 6,W
5,Sharks,04/11/23,Copa BetBoom 2023,ODDIK,Anubis,13 - 11,W
6,Sharks,02/11/23,Copa BetBoom 2023,paiN,Nuke,19 - 16,W
7,Sharks,01/11/23,Game Arena Cup Season 1,Fluxo,Vertigo,13 - 4,W
8,Sharks,30/10/23,Game Arena Cup Season 1,Seleção do bt0,Nuke,13 - 3,W
9,Sharks,28/10/23,Copa BetBoom 2023,Case,Inferno,13 - 8,W
10,Sharks,26/10/23,CBCS 2023 Season 3,BESTIA,Inferno,13 - 10,W
11,Sharks,24/10/23,Copa BetBoom 2023,Imperial,Mirage,11 - 13,L
12,Sharks,22/10/23,ESL Challenger Atlanta 2023 South America Open Qualifier,RED Canids,Nuke,14 - 16,L
13,Sharks,21/10/23,ESL Challenger Atlanta 2023 South America Open Qualifier,Corinthians,Nuke,13 - 10,W
14,Sharks,19/10/23,ESL Challenger Jönköping 2023 South America Closed Qualifier,RED Canids,Anubis,16 - 12,W
15,Sharks,13/10/23,CCT South America Series 12,SELVA,Anubis,12 - 16,L
16,Sharks,12/10/23,ESL Challenger Jönköping 2023 South America Open Qualifier,Meta,Nuke,13 - 8,W
17,Sharks,09/10/23,CCT South America Series 12,Solid,Mirage,16 - 10,W
18,Sharks,05/10/23,CCT South America Series 12,ODDIK,Nuke,12 - 16,L
19,Sharks,22/09/23,CCT 2023 Online Finals 3,Preasy,Mirage,19 - 22,L
20,Sharks,18/09/23,CCT 2023 Online Finals 3,1WIN,Vertigo,7 - 16,L
21,Sharks,02/09/23,CCT South America Series 10,W7M,Inferno,16 - 6,W
22,Sharks,26/08/23,CBCS Masters 2023,BESTIA,Inferno,13 - 16,L
23,Sharks,19/08/23,CBCS Masters 2023,ODDIK,Inferno,16 - 12,W
24,Sharks,13/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,00NATION,Inferno,13 - 16,L
25,Sharks,13/08/23,CCT South America Series 9,Case,Vertigo,16 - 14,W
26,Sharks,12/08/23,CCT South America Series 9,ODDIK,Ancient,19 - 16,W
27,Sharks,10/08/23,TG Masters Fall 2023 - BLAST Premier Qualifier,Fluxo,Nuke,16 - 12,W
28,Sharks,23/07/23,CCT South America Series 8,9z,Nuke,15 - 19,L
29,Sharks,22/07/23,CCT South America Series 8,LRV,Inferno,16 - 12,W
30,Sharks,11/07/23,ESL Pro League Season 18 South America Open Qualifier,BESTIA,Anubis,14 - 16,L
31,Sharks,24/06/23,CBCS 2023 Season 1,FURIA Academy,Ancient,16 - 9,W
32,Sharks,16/06/23,CBCS 2023 Season 1,FURIA Academy,Ancient,16 - 10,W
33,Sharks,07/06/23,Pinnacle Cup Brasil 1,Boca Juniors,Nuke,11 - 16,L
34,Sharks,28/05/23,CCT 2023 Online Finals 1,ECSTATIC,Nuke,9 - 16,L
35,Sharks,24/05/23,CCT 2023 Online Finals 1,9INE,Nuke,16 - 11,W
36,Sharks,06/05/23,CCT South America Series 7,BESTIA,Ancient,9 - 16,L
37,Sharks,04/05/23,CCT South America Series 7,FURIA Academy,Vertigo,16 - 9,W
38,Sharks,29/04/23,TG Rush Autumn 2023,ODDIK,Nuke,19 - 16,W
39,Sharks,25/04/23,TG Rush Autumn 2023,FURIA Academy,Ancient,16 - 11,W
40,Sharks,16/04/23,CCT South America Series 6,Paquetá,Anubis,14 - 16,L
41,Sharks,15/04/23,ESL Challenger Katowice 2023 South America Open Qualifier,Solid,Ancient,11 - 16,L
42,Sharks,29/03/23,EPL World Series Americas Season 3,ARCTIC,Ancient,16 - 5,W
43,Sharks,27/03/23,IEM Dallas 2023 South America Open Qualifier 2,O PLANO,Vertigo,10 - 16,L
44,Sharks,27/03/23,IEM Dallas 2023 South America Open Qualifier 2,Hype,Anubis,16 - 3,W
45,Sharks,24/03/23,EPL World Series Americas Season 3,Meta,Vertigo,16 - 5,W
46,Sharks,21/03/23,EPL World Series Americas Season 3,Flamengo,Mirage,16 - 12,W
